Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1802,Sugar cane,2016,2016,t,17364,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1802,Sugar cane,2017,2017,t,33725,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1802,Sugar cane,2018,2018,t,25421,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1802,Sugar cane,2019,2019,t,36538,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1802,Sugar cane,2020,2020,t,40292,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1802,Sugar cane,2016,2016,t,934,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1802,Sugar cane,2017,2017,t,1814,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1802,Sugar cane,2018,2018,t,1367,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1802,Sugar cane,2019,2019,t,1909.9,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1802,Sugar cane,2020,2020,t,2099.05,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1221,Watermelons,2016,2016,t,862341,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1221,Watermelons,2017,2017,t,771355,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1221,Watermelons,2018,2018,t,316333,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1221,Watermelons,2019,2019,t,846990,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1221,Watermelons,2020,2020,t,990318,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1221,Watermelons,2016,2016,t,130152,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1221,Watermelons,2017,2017,t,117313,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1221,Watermelons,2018,2018,t,47714,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1221,Watermelons,2019,2019,t,127475.1,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1221,Watermelons,2020,2020,t,148787.96,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,1341,Apples,2016,2016,t,101532,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,1341,Apples,2017,2017,t,96338,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,1341,Apples,2018,2018,t,108375,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,1341,Apples,2019,2019,t,105933,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,1341,Apples,2020,2020,t,102167,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,1341,Apples,2016,2016,t,9873,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,1341,Apples,2017,2017,t,9368,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,1341,Apples,2018,2018,t,10538,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,1341,Apples,2019,2019,t,10016.22,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,1341,Apples,2020,2020,t,9728.28,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,1343,Apricots,2016,2016,t,5194,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,1343,Apricots,2017,2017,t,5040,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,1343,Apricots,2018,2018,t,5139,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,1343,Apricots,2019,2019,t,4875,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,1343,Apricots,2020,2020,t,5143,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,1343,Apricots,2016,2016,t,505,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,1343,Apricots,2017,2017,t,490,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,1343,Apricots,2018,2018,t,500,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,1343,Apricots,2019,2019,t,524.85,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,1343,Apricots,2020,2020,t,504.43,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,115,Barley,2016,2016,t,9000,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,115,Barley,2017,2017,t,9035,A,Official figure
